epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16699.1,0.82593,0.60853,0.90559,0.85457,0.8831,0.81664,0.58439,1.10443,0.69867,0.91238,0.000614,0.000614,0.000614
44,16850,0.83681,0.61581,0.89894,0.8535,0.84971,0.81158,0.57449,1.06658,0.6538,0.89388,0.000581,0.000581,0.000581
45,16987.7,0.82323,0.60018,0.9053,0.84364,0.87328,0.81562,0.57531,1.05347,0.67451,0.89416,0.000548,0.000548,0.000548
46,17115.3,0.82544,0.58076,0.90349,0.86735,0.88439,0.8085,0.5843,1.05292,0.66541,0.8932,0.000515,0.000515,0.000515
47,17252.4,0.79856,0.57238,0.89856,0.87645,0.86705,0.81691,0.59076,1.04928,0.67951,0.89166,0.000482,0.000482,0.000482
48,17380.5,0.80203,0.57351,0.89475,0.85688,0.86518,0.7902,0.56485,1.06666,0.66794,0.8966,0.000449,0.000449,0.000449
49,17513,0.81004,0.57623,0.8915,0.83689,0.83237,0.7977,0.57669,1.04634,0.6656,0.89013,0.000416,0.000416,0.000416
50,17662.5,0.80673,0.56647,0.88764,0.86336,0.87657,0.80992,0.5861,1.06333,0.66913,0.89056,0.000383,0.000383,0.000383
51,17809.2,0.75873,0.52505,0.87235,0.83251,0.86193,0.80063,0.57171,1.06173,0.67606,0.8909,0.00035,0.00035,0.00035
52,17955.3,0.76541,0.49355,0.87598,0.84475,0.84924,0.8185,0.59351,1.03025,0.65234,0.88762,0.000317,0.000317,0.000317
53,18102.4,0.76271,0.47023,0.87241,0.83094,0.88074,0.82179,0.5969,1.03029,0.63489,0.88352,0.000284,0.000284,0.000284
54,18234.5,0.73959,0.46395,0.86681,0.8366,0.88786,0.82274,0.59956,1.05426,0.64298,0.88807,0.000251,0.000251,0.000251
55,18367.7,0.72871,0.4575,0.87047,0.86523,0.87283,0.81955,0.59103,1.05711,0.61681,0.88955,0.000218,0.000218,0.000218
56,18513.2,0.73641,0.45608,0.86987,0.83509,0.88439,0.82455,0.58587,1.08065,0.64035,0.89417,0.000185,0.000185,0.000185
57,18660.4,0.70629,0.43306,0.86266,0.83495,0.87726,0.81956,0.58709,1.06546,0.65703,0.89206,0.000152,0.000152,0.000152
58,18806.8,0.7048,0.43051,0.86381,0.83972,0.87283,0.81536,0.58194,1.06107,0.65187,0.89183,0.000119,0.000119,0.000119
59,18953.6,0.7052,0.43662,0.86616,0.85207,0.87283,0.81347,0.58382,1.05404,0.63551,0.8898,8.6e-05,8.6e-05,8.6e-05
60,19088.2,0.70683,0.42326,0.86281,0.85364,0.87659,0.81236,0.58699,1.0415,0.63655,0.88705,5.3e-05,5.3e-05,5.3e-05
